Acceleration in X,Acceleration in Y,Acceleration in Z
-998,28,-62
-1000,26,-59
-1000,26,-60
-998,27,-61
-1000,27,-58
-998,26,-60
-999,28,-59
-999,27,-62
-998,28,-59
-997,27,-60
-1000,28,-57
-999,28,-58
-999,27,-62
-1000,28,-62
-999,25,-60
-998,26,-60
-999,26,-62
-999,26,-60
-998,25,-60
-999,26,-59
-1000,28,-62
-997,27,-60
-1000,24,-61
-1000,24,-59
-997,27,-60
-999,27,-62
-1000,27,-62
-999,26,-60
-998,29,-62
-998,27,-58
-999,28,-61
-998,27,-58
-997,27,-62
-998,26,-62
-1001,27,-60
-998,28,-62
-998,26,-61
-998,26,-59
-999,29,-60
-1000,27,-58
-1000,27,-59
-999,26,-61
-998,26,-60
-998,25,-58
-997,26,-59
-998,27,-62
-997,27,-60
-999,26,-61
-996,27,-63
-998,26,-59
-1000,27,-56
-999,25,-61
-998,25,-61
-998,26,-60
-997,27,-60
-998,28,-57
-996,26,-62
-999,25,-58
-996,25,-61
-998,26,-58
-999,27,-60
-998,26,-58
-999,26,-60
-999,28,-59
-999,27,-60
-997,28,-62
-1000,28,-61
-997,26,-60
-997,26,-58
-1000,29,-58
-999,27,-62
-997,26,-61
-998,27,-58
-1000,27,-59
-998,26,-61
-1000,27,-61
-998,27,-59
-997,27,-61
-998,28,-62
-997,30,-62
-999,27,-57
-999,27,-58
-1000,26,-62
-1000,25,-62
-999,26,-57
-998,27,-60
-998,27,-62
-999,25,-58
-999,26,-62
-999,24,-61
-998,26,-60
-1000,27,-60
-999,27,-59
-999,26,-61
-998,25,-60
-998,28,-59
-998,25,-55
-999,27,-58
-1000,26,-60
-999,26,-61
-998,27,-61
-999,26,-59
-1000,25,-61
-996,27,-61
-998,27,-60
-998,26,-58
-997,27,-57
-998,27,-61
-1000,27,-59
-1000,25,-58
-997,26,-60
-1000,25,-61
-999,28,-58
-997,27,-60
-998,29,-58
-1000,27,-62
-998,26,-62
-1000,26,-59
-997,24,-60
-999,25,-62
-998,28,-62
-1000,29,-59
-998,27,-61
-998,25,-61
-1000,26,-59
-999,27,-57
-999,28,-61
-998,25,-62
-998,27,-62
-999,28,-60
-999,26,-56
-999,26,-61
-1000,27,-60
-1000,27,-62
-999,26,-60
-998,25,-63
-998,26,-58
-998,26,-60
-998,27,-60
-998,27,-59
-997,26,-56
-999,25,-62
-996,26,-60
-999,26,-60
-1000,26,-57
-997,25,-62
-998,25,-60
-999,26,-59
-1000,27,-59
-999,27,-62
-1000,28,-60
-998,26,-58
-998,28,-61
-998,24,-60
-999,27,-59
-998,26,-58
-999,26,-58
-999,27,-59
-998,25,-59
-999,26,-61
-1000,28,-60
-1000,25,-59
-996,27,-56
-999,27,-58
-998,27,-58
-999,27,-59
-999,26,-58
-1000,29,-62
-998,27,-60
-1000,23,-60
-998,30,-62
-996,27,-58
-1000,27,-59
-997,27,-60
-998,26,-56
-997,25,-58
-997,29,-58
-1000,26,-57
-998,25,-60
-1000,29,-58
-998,26,-62
-997,27,-60
-999,25,-58
-1000,28,-58
-998,26,-60
-1001,26,-64
-998,28,-55
-998,27,-57
-1000,25,-62
-999,27,-61
-999,26,-57
-998,25,-61
-997,27,-59
-997,28,-60
-999,25,-61
-996,28,-60
-999,27,-61
-999,27,-62
-998,26,-60
-998,26,-59
-996,27,-60
-1000,26,-59
-999,25,-61
-998,25,-61
-1000,28,-62
-1000,27,-63
-998,26,-61
-1000,29,-61
-998,27,-58
-999,27,-59
-999,27,-62
-999,27,-55
-998,27,-59
-999,24,-60
-999,26,-61
-999,26,-62
-998,27,-59
-1000,25,-56
-998,26,-62
-999,26,-60
-997,27,-61
-1000,27,-59
-998,28,-59
-998,27,-61
-998,27,-61
-998,29,-59
-998,27,-61
-1001,27,-61
-1000,27,-58
-999,27,-55
-999,26,-58
-999,25,-59
-1000,28,-61
-997,25,-60
-1000,24,-62
-999,26,-61
-999,28,-58
-999,27,-58
-997,26,-62
-998,28,-59
-999,27,-60
-998,27,-58
-1000,27,-58
-1000,26,-60
-999,26,-59
-1000,26,-59
-998,26,-60
-999,26,-64
-999,26,-61
-998,27,-62
-1000,27,-58
-997,27,-60
-999,27,-60
-999,27,-59
-998,26,-58
-998,27,-59
-997,26,-59
-998,27,-59
-999,26,-58
-997,28,-63
-997,27,-59
-998,27,-60
-998,27,-63
-998,26,-60
-999,27,-61
-998,26,-61
-998,26,-58
-998,27,-60
-998,26,-60
-998,28,-60
-997,27,-59
-1000,27,-62
-999,27,-62
-998,26,-60
-997,27,-59
-999,27,-61
-998,29,-62
-999,26,-58
-998,28,-60
-997,26,-60
-999,25,-58
-999,27,-59
-1000,27,-61
-998,29,-60
-998,27,-62
-999,26,-58
-998,27,-59
-999,27,-62
-1000,27,-57
-1000,28,-57
-999,26,-59
-999,27,-58
-999,28,-60
-997,26,-59
-997,27,-61
-1000,26,-60
-1000,27,-58
-999,28,-59
-997,29,-61
-998,27,-60
-999,28,-57
-998,27,-58
-997,27,-59
-999,28,-59
-996,28,-57
-998,26,-61
-998,28,-61
-996,28,-57
-998,26,-60
-999,25,-58
-998,28,-62
-999,27,-59
-999,27,-57
-997,26,-59
-1000,27,-59
-1000,27,-61
-999,27,-61
-999,27,-59
-1000,27,-61
-999,25,-62
-999,27,-62
-1000,26,-60
-999,27,-60
-998,26,-59
-997,26,-58
-999,25,-59
-996,27,-62
-999,28,-60
-998,26,-63
-998,27,-59
-1000,27,-61
-1000,27,-62
-997,28,-61
-997,28,-60
-999,27,-58
-999,27,-60
-1000,27,-57
-998,25,-59
-997,27,-59
-997,27,-61
-999,28,-58
-998,28,-60
-999,27,-58
-1001,27,-58
-1000,27,-59
-997,27,-59
-997,27,-61
-999,26,-60
-999,27,-60
-998,29,-59
-1000,25,-62
-1001,25,-60
-998,27,-62
-997,26,-62
-999,28,-62
-998,25,-59
-999,26,-54
-998,27,-61
-999,28,-59
-999,27,-59
-1000,28,-57
-1000,27,-60
-998,26,-60
-998,26,-59
-998,26,-58
-997,27,-62
-998,27,-61
-999,28,-57
-1000,25,-62
-1000,28,-61
-998,27,-60
-999,28,-59
-998,27,-57
-998,27,-55
-1000,29,-62
-999,25,-58
-999,28,-60
-996,27,-62
-1000,28,-58
-998,27,-60
-1000,27,-62
-999,27,-59
-998,28,-63
-997,25,-61
-998,25,-58
-999,27,-61
-998,26,-58
-998,29,-59
-999,25,-61
-999,26,-58
-997,28,-58
-998,27,-60
-1000,28,-58
-998,28,-58
-1000,25,-58
-998,27,-59
-997,27,-60
-997,26,-59
-997,28,-59
-998,26,-59
-998,28,-62
-999,28,-60
-998,28,-59
-999,26,-62
-999,25,-61
-999,28,-58
-998,29,-59
-997,28,-61
-1000,28,-60
-999,27,-59
-999,25,-61
-998,27,-57
-999,28,-60
-1000,26,-59
-999,27,-62
-999,30,-60
-997,28,-62
-999,27,-59
-1001,26,-59
-998,27,-60
-999,28,-62
-999,26,-59
-998,27,-58
-999,27,-62
-1000,26,-59
-998,26,-59
-999,28,-61
-997,26,-58
-998,28,-58
-998,27,-58
-1000,27,-57
-998,29,-59
-998,25,-58
-998,27,-61
-1000,27,-60
-999,27,-60
-999,28,-57
-999,28,-60
-1000,26,-61
-998,27,-62
-997,27,-60
-998,27,-57
-1000,28,-57
-999,27,-62
-999,25,-62
-998,28,-56
-998,26,-61
-997,28,-60
-998,28,-60
-999,29,-56
-998,28,-60
-998,27,-62
-999,27,-60
-996,27,-59
-998,26,-59
-998,28,-62
-997,27,-57
-999,25,-60
-999,25,-62
-997,26,-57
-997,28,-59
-1000,27,-58
-999,26,-60
-999,25,-58
-1000,29,-61
-998,29,-58
-998,29,-59
-997,27,-58
-998,28,-59
-1000,29,-59
-1000,28,-57
-1000,27,-61
-998,28,-58
-999,27,-59
-1000,28,-62
-1001,27,-63
-1000,24,-59
-999,26,-60
-999,27,-61
-999,25,-60
-1000,25,-57
-1000,26,-60
-999,27,-62
-1000,27,-63
-997,28,-59
-999,26,-61
-997,27,-58
-1000,27,-59
-999,27,-61
-998,25,-57
-1000,29,-60
-998,28,-61
-999,26,-58
-1001,27,-58
-999,26,-58
-1000,26,-59
-999,29,-59
-999,26,-62
-999,26,-57
-998,27,-58
