Acceleration in X,Acceleration in Y,Acceleration in Z
-22,-992,-93
-19,-988,-94
-19,-993,-92
-20,-991,-94
-18,-988,-93
-20,-991,-92
-20,-990,-93
-18,-989,-95
-20,-991,-91
-18,-988,-92
-19,-992,-89
-19,-990,-93
-19,-988,-89
-18,-992,-90
-19,-990,-94
-20,-989,-91
-18,-987,-94
-19,-987,-94
-20,-994,-92
-20,-991,-93
-20,-990,-95
-20,-991,-95
-20,-991,-91
-21,-990,-90
-20,-990,-92
-19,-989,-92
-19,-992,-97
-19,-991,-91
-19,-993,-93
-21,-989,-93
-21,-988,-94
-19,-991,-91
-18,-991,-92
-20,-988,-94
-18,-991,-94
-19,-988,-96
-20,-991,-94
-20,-990,-96
-19,-989,-94
-20,-990,-96
-19,-988,-96
-19,-988,-95
-20,-991,-94
-19,-991,-90
-18,-990,-90
-20,-989,-96
-21,-991,-90
-20,-990,-97
-19,-992,-91
-20,-990,-90
-19,-990,-93
-20,-989,-93
-20,-991,-91
-19,-993,-89
-20,-990,-93
-19,-992,-94
-19,-991,-94
-20,-990,-96
-20,-989,-94
-19,-990,-91
-20,-990,-92
-19,-991,-89
-18,-989,-95
-18,-991,-90
-21,-989,-92
-18,-991,-96
-18,-990,-91
-18,-988,-91
-20,-991,-92
-21,-992,-94
-19,-990,-92
-18,-989,-93
-20,-988,-92
-21,-991,-92
-20,-989,-95
-20,-989,-92
-20,-989,-96
-21,-989,-90
-21,-992,-93
-20,-991,-90
-20,-989,-92
-18,-990,-94
-18,-991,-94
-19,-990,-94
-18,-993,-94
-19,-989,-91
-18,-989,-93
-18,-991,-93
-18,-990,-97
-20,-989,-92
-21,-990,-95
-19,-990,-97
-19,-990,-92
-19,-990,-96
-20,-990,-94
-21,-992,-93
-19,-989,-96
-20,-991,-93
-19,-991,-93
-20,-990,-94
-20,-990,-94
-20,-991,-94
-21,-991,-97
-20,-992,-94
-19,-992,-91
-20,-990,-92
-19,-990,-95
-19,-990,-96
-18,-991,-91
-20,-990,-88
-18,-990,-90
-19,-991,-92
-19,-991,-93
-17,-991,-96
-22,-990,-94
-19,-992,-95
-20,-990,-92
-19,-988,-92
-19,-989,-94
-16,-991,-92
-18,-992,-94
-20,-990,-96
-20,-991,-93
-20,-991,-91
-20,-991,-93
-17,-993,-91
-20,-991,-93
-19,-991,-93
-18,-990,-91
-18,-988,-93
-20,-990,-92
-20,-990,-92
-20,-991,-95
-19,-991,-91
-18,-990,-94
-20,-989,-93
-19,-990,-95
-20,-989,-91
-20,-990,-93
-19,-992,-92
-21,-992,-97
-20,-991,-93
-20,-989,-91
-20,-991,-91
-18,-990,-93
-19,-991,-94
-21,-989,-94
-19,-992,-94
-19,-991,-91
-20,-988,-93
-20,-990,-91
-19,-990,-93
-20,-988,-91
-17,-989,-95
-20,-990,-91
-20,-991,-91
-20,-992,-94
-19,-993,-91
-19,-991,-94
-19,-991,-95
-20,-991,-91
-20,-991,-91
-20,-991,-92
-18,-989,-93
-18,-992,-93
-20,-988,-95
-19,-990,-94
-20,-990,-93
-20,-990,-93
-18,-989,-92
-21,-991,-93
-18,-989,-90
-17,-989,-92
-19,-990,-91
-20,-990,-94
-20,-991,-94
-20,-991,-95
-19,-993,-92
-19,-991,-94
-20,-990,-94
-19,-991,-92
-19,-991,-96
-22,-990,-91
-18,-990,-92
-18,-991,-93
-18,-991,-94
-19,-990,-93
-17,-990,-92
-20,-988,-96
-20,-990,-95
-19,-990,-93
-19,-989,-94
-21,-986,-91
-20,-987,-93
-19,-991,-96
-19,-991,-93
-18,-989,-93
-20,-991,-93
-19,-988,-89
-19,-992,-95
-20,-988,-94
-18,-989,-94
-18,-990,-94
-19,-989,-92
-20,-990,-90
-20,-989,-92
-19,-991,-93
-20,-989,-96
-21,-992,-95
-20,-991,-94
-20,-990,-94
-17,-991,-93
-18,-990,-93
-19,-994,-94
-20,-989,-88
-20,-988,-92
-20,-990,-89
-20,-991,-91
-20,-991,-89
-19,-989,-94
-20,-990,-93
-19,-990,-94
-20,-990,-93
-21,-988,-95
-20,-987,-95
-20,-991,-94
-19,-990,-94
-18,-990,-92
-17,-991,-92
-18,-989,-93
-20,-989,-94
-21,-990,-94
-20,-989,-94
-20,-991,-93
-19,-991,-90
-18,-991,-94
-20,-988,-93
-19,-989,-91
-20,-989,-92
-18,-989,-90
-18,-991,-95
-19,-991,-91
-20,-989,-91
-19,-989,-92
-19,-990,-89
-19,-991,-91
-20,-990,-96
-21,-992,-91
-21,-990,-93
-20,-990,-91
-20,-991,-94
-19,-991,-94
-20,-989,-91
-19,-990,-94
-21,-991,-92
-19,-990,-90
-20,-991,-89
-20,-991,-91
-18,-990,-92
-20,-989,-92
-20,-991,-93
-22,-990,-91
-20,-989,-94
-20,-990,-94
-19,-990,-96
-19,-991,-91
-18,-994,-92
-21,-992,-92
-20,-992,-90
-20,-990,-90
-20,-990,-91
-18,-990,-90
-19,-990,-95
-19,-990,-96
-20,-990,-92
-18,-988,-93
-19,-988,-92
-20,-989,-90
-19,-990,-91
-20,-992,-92
-19,-991,-94
-21,-992,-91
-19,-990,-92
-17,-991,-94
-19,-990,-92
-22,-989,-96
-20,-989,-93
-18,-992,-92
-18,-991,-94
-17,-990,-91
-18,-989,-90
-18,-990,-92
-18,-991,-93
-18,-991,-92
-19,-991,-95
-20,-990,-95
-16,-992,-93
-18,-990,-89
-21,-993,-93
-18,-990,-90
-20,-989,-91
-21,-988,-93
-19,-990,-95
-20,-992,-92
-20,-989,-95
-20,-991,-94
-19,-990,-92
-19,-991,-91
-19,-991,-95
-20,-991,-89
-20,-990,-95
-18,-989,-89
-19,-990,-94
-18,-991,-97
-18,-989,-92
-20,-991,-91
-19,-990,-90
-19,-989,-93
-19,-989,-94
-18,-990,-95
-20,-990,-91
-17,-991,-92
-20,-991,-93
-20,-991,-94
-19,-990,-92
-20,-992,-94
-20,-990,-92
-20,-991,-92
-19,-989,-94
-21,-991,-92
-20,-990,-93
-20,-991,-95
-20,-990,-93
-17,-992,-93
-20,-991,-91
-21,-991,-94
-20,-992,-93
-20,-990,-94
-20,-991,-97
-20,-990,-94
-20,-991,-91
-18,-990,-93
-19,-993,-93
-18,-990,-94
-21,-991,-91
-18,-990,-91
-19,-991,-93
-19,-991,-91
-21,-990,-90
-20,-990,-92
-17,-992,-93
-19,-990,-94
-19,-992,-91
-20,-991,-88
-19,-991,-88
-19,-990,-92
-19,-990,-95
-19,-992,-93
-20,-993,-96
-20,-989,-94
-20,-989,-95
-22,-991,-93
-19,-990,-90
-20,-990,-92
-17,-990,-96
-17,-989,-94
-16,-991,-94
-18,-990,-94
-20,-990,-93
-20,-990,-94
-19,-989,-91
-20,-990,-95
-21,-988,-94
-19,-991,-95
-19,-990,-93
-20,-991,-91
-18,-989,-95
-21,-990,-93
-17,-990,-91
-21,-990,-91
-19,-990,-92
-18,-990,-92
-19,-989,-94
-21,-989,-93
-20,-991,-93
-20,-990,-92
-19,-990,-92
-20,-991,-91
-20,-990,-95
-18,-989,-93
-19,-991,-95
-18,-990,-93
-17,-989,-92
-20,-988,-90
-20,-989,-93
-21,-989,-92
-18,-990,-93
-20,-992,-94
-19,-989,-94
-20,-989,-94
-19,-989,-95
-18,-990,-95
-19,-991,-95
-17,-989,-95
-19,-990,-95
-21,-989,-95
-18,-991,-95
-19,-991,-94
-20,-989,-95
-20,-992,-94
-18,-989,-94
-19,-990,-90
-18,-990,-92
-19,-989,-91
-16,-988,-103
-10,-1014,-125
-11,-1021,-73
-22,-1000,-72
-18,-966,-112
-15,-1008,-112
-24,-1015,-69
-31,-967,-62
-20,-1007,-104
-16,-976,-115
-20,-989,-90
-21,-1013,-80
-14,-971,-82
-19,-1006,-108
-25,-981,-102
-20,-992,-88
-17,-1002,-90
-23,-972,-88
-23,-1000,-96
-19,-981,-88
-20,-997,-91
-15,-995,-94
-11,-980,-95
-10,-1002,-96
-20,-986,-87
-24,-984,-83
-20,-992,-98
-21,-981,-98
-22,-993,-89
-20,-995,-92
-15,-982,-93
-20,-1013,-98
-22,-972,-93
-16,-1006,-94
-15,-1000,-87
-20,-975,-92
-17,-1003,-102
-20,-986,-93
-21,-980,-86
-22,-990,-84
-21,-990,-104
-24,-979,-94
-19,-993,-85
-16,-988,-92
-19,-983,-97
-21,-990,-96
-21,-989,-86
-18,-984,-91
-19,-992,-95
-20,-988,-96
-19,-991,-92
-20,-991,-88
-19,-987,-92
-21,-994,-101
-18,-989,-94
-19,-991,-90
-19,-989,-94
-18,-990,-97
-20,-993,-94
-20,-990,-87
-20,-993,-96
-19,-989,-96
-20,-988,-91
-19,-992,-91
-17,-991,-93
-20,-990,-95
-17,-992,-95
-18,-990,-92
-21,-992,-92
-21,-992,-90
-21,-990,-95
-20,-990,-92
-19,-989,-90
-22,-992,-92
-18,-990,-95
-19,-990,-92
-19,-992,-97
-20,-988,-93
-19,-989,-91
-21,-989,-93
-21,-989,-94
-20,-991,-91
-19,-988,-92
-17,-990,-94
-17,-990,-97
-20,-990,-95
